fips,Ridge_Preds,ENet_Preds,RF_Preds,XGB_Preds,Preds_Combined,Poor_Ridge_RPR20,Poor_ENet_RPR20,Poor_RF_RPR20,Poor_XGB_RPR20,Poor_Combined_RPR20,Poor_Ensemble_RPR20,Poor_Ridge_RPR15,Poor_ENet_RPR15,Poor_RF_RPR15,Poor_XGB_RPR15,Poor_Combined_RPR15,Poor_Ridge_RPR10,Poor_ENet_RPR10,Poor_RF_RPR10,Poor_XGB_RPR10,Poor_Combined_RPR10,Poor_Ridge_RPR05,Poor_ENet_RPR05,Poor_RF_RPR05,Poor_XGB_RPR05,Poor_Combined_RPR05,Poor_Ensemble_RPR15,Poor_Ensemble_RPR10,Poor_Ensemble_RPR05,mFIPS,district,locality,ed,population,objectid
11200206,6.174617149,6.328706531,5.790610986,5.478219329,5.943038499,0.833333333,0.696969697,0.909090909,0.909090909,0.909090909,0.837121212,0.651515152,0.454545455,0.863636364,0.909090909,0.848484848,0.348484848,0.242424242,0.787878788,0.833333333,0.651515152,0.106060606,0.03030303,0.484848485,0.787878788,0.287878788,0.71969697,0.553030303,0.352272727,1200206,1,12,206,338,691
11200207,6.576450061,6.531514625,6.475974546,6.037387295,6.405331632,0.386666667,0.453333333,0.546666667,0.84,0.6,0.556666667,0.266666667,0.28,0.173333333,0.746666667,0.36,0.08,0.093333333,0,0.506666667,0.133333333,0,0,0,0.24,0,0.366666667,0.17,0.06,1200207,1,12,207,362,642
11200208,6.383916867,6.407605683,6.353285802,6.36810202,6.378227593,0.612903226,0.612903226,0.677419355,0.64516129,0.64516129,0.637096774,0.451612903,0.451612903,0.435483871,0.5,0.467741935,0.14516129,0.112903226,0.177419355,0.306451613,0.161290323,0.032258065,0.032258065,0,0.080645161,0.016129032,0.459677419,0.185483871,0.036290323,1200208,1,12,208,260,643
11200209,6.065262952,6.075513188,6.242971124,6.139039951,6.130696804,0.821428571,0.821428571,0.767857143,0.75,0.803571429,0.790178571,0.767857143,0.767857143,0.642857143,0.678571429,0.732142857,0.535714286,0.535714286,0.392857143,0.464285714,0.482142857,0.232142857,0.196428571,0,0.339285714,0.125,0.714285714,0.482142857,0.191964286,1200209,1,12,209,267,650
11200210,6.767866783,6.868088792,6.979499936,7.03262949,6.91202125,0.5,0.5,0,0.5,0.5,0.375,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,1200210,1,12,210,5,700
11200211,6.444445951,6.425739949,6.802672259,6.50944484,6.54557575,0.537190083,0.537190083,0.008264463,0.446280992,0.396694215,0.382231405,0.314049587,0.32231405,0,0.289256198,0.214876033,0.123966942,0.165289256,0,0.190082645,0.066115702,0.024793388,0.024793388,0,0.082644628,0.008264463,0.231404959,0.119834711,0.033057851,1200211,1,12,211,708,665
11200212,6.729304153,6.736733417,6.627948145,6.559893616,6.663469833,0.232954545,0.221590909,0.284090909,0.386363636,0.278409091,0.28125,0.119318182,0.113636364,0.147727273,0.244318182,0.119318182,0.045454545,0.039772727,0.073863636,0.142045455,0.056818182,0.017045455,0.017045455,0.034090909,0.056818182,0.022727273,0.15625,0.075284091,0.03125,1200212,1,12,212,747,673
11200213,6.190007472,6.225915874,6.225732507,6.178933144,6.205147249,1,1,1,0.75,1,0.9375,0.75,0.5,1,0.75,0.75,0.25,0,0,0.25,0,0,0,0,0,0,0.75,0.125,0,1200213,1,12,213,24,664
11200253,6.260539594,6.359752534,6.547998506,6.162036704,6.332581835,0.775700935,0.654205607,0.401869159,0.813084112,0.757009346,0.661214953,0.542056075,0.420560748,0.121495327,0.728971963,0.457943925,0.280373832,0.196261682,0,0.420560748,0.186915888,0.08411215,0.009345794,0,0.121495327,0,0.453271028,0.224299065,0.053738318,1200253,1,12,253,482,655
11200255,6.290422885,6.440235369,6.521973056,6.100821063,6.338363093,0.71875,0.546875,0.546875,0.78125,0.65625,0.6484375,0.515625,0.359375,0.1875,0.65625,0.46875,0.25,0.109375,0.015625,0.453125,0.21875,0.0625,0.03125,0,0.21875,0.046875,0.4296875,0.20703125,0.078125,1200255,1,12,255,270,685
