fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
30400108,NA,3100108,3,04,108,331,458
30400109,NA,3100109,3,04,109,253,462
30400110,NA,3100110,3,04,110,174,454
30400111,NA,3100111,3,04,111,253,463
30400112,NA,3100112,3,04,112,174,467
30400113,NA,3100113,3,04,113,252,469
30400114,NA,3100114,3,04,114,265,472
30400115,NA,3100115,3,04,115,482,479
30400116,NA,3100116,3,04,116,147,477
30400117,NA,3100117,3,04,117,549,501
30400118,NA,3100118,3,04,118,541,482
30400119,NA,3100119,3,04,119,370,481
30400121,NA,3100121,3,04,121,205,471
30400122,NA,3100122,3,04,122,709,541
30400153,NA,3100153,3,04,153,299,453
30400607,NA,3100607,3,04,607,350,460
30400609,NA,3100609,3,04,609,223,457
30400614,NA,3100614,3,04,614,123,473
30400615,NA,3100615,3,04,615,169,476
30400617,NA,3100617,3,04,617,611,537
30400618,NA,3100618,3,04,618,371,484
30400707,NA,3100707,3,04,707,264,449
30400717,NA,3100717,3,04,717,299,468
30400807,NA,3100807,3,04,807,285,452
30400817,NA,3100817,3,04,817,266,474
30400818,NA,3100818,3,04,818,878,486
30400907,NA,3100907,3,04,907,228,448
30400917,NA,3100917,3,04,917,464,464
30401117,NA,3101117,3,04,1117,582,478
30401118,NA,3101118,3,04,1118,285,483
30401122,NA,3101122,3,04,1122,372,542
30401607,NA,3101607,3,04,1607,466,540
30401617,NA,3101617,3,04,1617,610,512
30401717,NA,3101717,3,04,1717,320,470
30401817,NA,3101817,3,04,1817,320,524
30401818,NA,3101818,3,04,1818,408,480
30401907,NA,3101907,3,04,1907,407,450
30401917,NA,3101917,3,04,1917,303,466
30402122,NA,3102122,3,04,2122,313,543
30402607,NA,3102607,3,04,2607,512,522
30402817,NA,3102817,3,04,2817,268,533
30402818,NA,3102818,3,04,2818,801,506
30402907,NA,3102907,3,04,2907,406,451
30403122,NA,3103122,3,04,3122,248,488
30403607,NA,3103607,3,04,3607,337,502
30403817,NA,3103817,3,04,3817,288,532
30403818,NA,3103818,3,04,3818,742,485
30403907,NA,3103907,3,04,3907,494,504
30404817,NA,3104817,3,04,4817,168,535
30404818,NA,3104818,3,04,4818,523,505
30404907,NA,3104907,3,04,4907,769,503
30405817,NA,3105817,3,04,5817,293,534
30405818,NA,3105818,3,04,5818,512,528
30405907,NA,3105907,3,04,5907,929,521
30406817,NA,3106817,3,04,6817,543,531
30406818,NA,3106818,3,04,6818,495,527
30406907,NA,3106907,3,04,6907,574,520
30407817,NA,3107817,3,04,7817,243,536
30407818,NA,3107818,3,04,7818,497,526
30407907,NA,3107907,3,04,7907,384,539
30408818,NA,3108818,3,04,8818,500,525
30408907,NA,3108907,3,04,8907,593,538
30409818,NA,3109818,3,04,9818,819,529
30409907,NA,3109907,3,04,9907,309,514
30410818,NA,3110818,3,04,10818,434,530
30410907,NA,3110907,3,04,10907,285,518
30411818,NA,3111818,3,04,11818,718,523
30411907,NA,3111907,3,04,11907,408,516
30412818,NA,3112818,3,04,12818,558,511
30412907,NA,3112907,3,04,12907,163,515
30413907,NA,3113907,3,04,13907,244,517
30414907,NA,3114907,3,04,14907,127,519
30415907,NA,3115907,3,04,15907,130,513
30500101,NA,3100101,3,05,101,117,393
30500102,NA,3100102,3,05,102,85,409
30500103,NA,3100103,3,05,103,111,400
30500104,NA,3100104,3,05,104,83,414
30500121,NA,3100121,3,05,121,99,392
30501101,NA,3101101,3,05,1101,417,420
30501102,NA,3101102,3,05,1102,77,410
30501103,NA,3101103,3,05,1103,135,401
30501104,NA,3101104,3,05,1104,257,396
30502101,NA,3102101,3,05,2101,224,407
30502102,NA,3102102,3,05,2102,172,411
30502103,NA,3102103,3,05,2103,51,402
30502104,NA,3102104,3,05,2104,391,397
30503101,NA,3103101,3,05,3101,103,408
30503102,NA,3103102,3,05,3102,168,412
30503103,NA,3103103,3,05,3103,125,403
30503104,NA,3103104,3,05,3104,312,398
30504102,NA,3104102,3,05,4102,157,413
30504103,NA,3104103,3,05,4103,137,404
30504104,NA,3104104,3,05,4104,34,395
30505102,NA,3105102,3,05,5102,99,399
30505103,NA,3105103,3,05,5103,78,405
30505104,NA,3105104,3,05,5104,168,394
30506102,NA,3106102,3,05,6102,82,419
30506103,NA,3106103,3,05,6103,3,406
30507102,NA,3107102,3,05,7102,31,418
30508102,NA,3108102,3,05,8102,210,417
30509102,NA,3109102,3,05,9102,216,416
30510102,NA,3110102,3,05,10102,140,421
30511102,NA,3111102,3,05,11102,30,415
31200102,NA,3200102,3,12,102,102,323
31200103,NA,3200103,3,12,103,79,386
31200104,NA,3200104,3,12,104,481,336
31200105,NA,3200105,3,12,105,329,326
31200106,NA,3200106,3,12,106,862,341
31200107,NA,3200107,3,12,107,280,372
31200108,NA,3200108,3,12,108,194,339
31200109,NA,3200109,3,12,109,432,370
31200110,NA,3200110,3,12,110,370,365
31200113,NA,3200113,3,12,113,298,378
31200114,NA,3200114,3,12,114,257,375
31200116,NA,3200116,3,12,116,260,380
31200117,NA,3200117,3,12,117,1,387
31200118,NA,3200118,3,12,118,238,337
31200120,NA,3200120,3,12,120,149,319
31200124,NA,3200124,3,12,124,165,335
31200604,NA,3200604,3,12,604,553,327
31200610,NA,3200610,3,12,610,137,353
31200616,NA,3200616,3,12,616,130,332
31200660,NA,3200660,3,12,660,10,324
31200670,NA,3200670,3,12,670,547,325
31200816,NA,3200816,3,12,816,78,333
31201103,NA,3201103,3,12,1103,727,385
31201107,NA,3201107,3,12,1107,254,368
31201109,NA,3201109,3,12,1109,218,334
31201110,NA,3201110,3,12,1110,284,371
31201113,NA,3201113,3,12,1113,527,331
31201114,NA,3201114,3,12,1114,558,376
31201116,NA,3201116,3,12,1116,266,381
31201120,NA,3201120,3,12,1120,321,322
31201124,NA,3201124,3,12,1124,86,367
31201604,NA,3201604,3,12,1604,571,369
31201610,NA,3201610,3,12,1610,269,354
31201660,NA,3201660,3,12,1660,246,344
31201670,NA,3201670,3,12,1670,560,347
31202103,NA,3202103,3,12,2103,129,343
31202107,NA,3202107,3,12,2107,403,340
31202110,NA,3202110,3,12,2110,392,366
31202113,NA,3202113,3,12,2113,373,379
31202114,NA,3202114,3,12,2114,250,330
31202116,NA,3202116,3,12,2116,26,384
31202120,NA,3202120,3,12,2120,323,321
31202604,NA,3202604,3,12,2604,324,328
31202610,NA,3202610,3,12,2610,384,355
31202660,NA,3202660,3,12,2660,557,349
31203110,NA,3203110,3,12,3110,579,342
31203114,NA,3203114,3,12,3114,258,377
31203116,NA,3203116,3,12,3116,262,382
31203120,NA,3203120,3,12,3120,279,318
31203610,NA,3203610,3,12,3610,534,356
31203660,NA,3203660,3,12,3660,193,348
31204116,NA,3204116,3,12,4116,300,383
31204610,NA,3204610,3,12,4610,446,358
31204660,NA,3204660,3,12,4660,127,345
31205116,NA,3205116,3,12,5116,304,373
31205610,NA,3205610,3,12,5610,126,357
31205660,NA,3205660,3,12,5660,217,346
31206116,NA,3206116,3,12,6116,382,374
31206610,NA,3206610,3,12,6610,372,359
31206660,NA,3206660,3,12,6660,203,350
31207116,NA,3207116,3,12,7116,132,329
31207610,NA,3207610,3,12,7610,451,360
31207660,NA,3207660,3,12,7660,675,361
